cName,PCON11CD,country,region,leave,FishandChipShopsandRestaurants,totalRestaurants,house,salary,publicsector,degree,age,nonukborn,health
Hornsey and Wood Green,E14000752,England,London,0.2498291,116,1998,399995,686.5,17.3,52,43,36.7,85.4
Vauxhall,E14001008,England,London,0.224283962,86,2247,407500,574.9,18.6,48.7,39,41,84.9
Edinburgh North and Leith,S14000023,Scotland,Scotland,0.217955235,155,2500,NA,565.3,23.1,49.5,35,19.3,86.9
Bristol West,E14000602,England,South West,0.207115084,192,2492,210000,562.6,22.9,47.2,37,22.9,87.1
Hackney North and Stoke Newington,E14000720,England,London,0.209495584,74,1448,365000,647.1,12.5,42.1,48,38,83.7
Dulwich and West Norwood,E14000673,England,London,0.220525412,171,2500,344000,705.6,38.7,47.6,41,32.4,85.2
Hackney South and Shoreditch,E14000721,England,London,0.221796833,90,2963,387000,574.9,13.7,41.5,45,40.2,82
Streatham,E14000978,England,London,0.205396741,95,1749,335000,659.6,19.7,46.6,39,38.9,85.5
Battersea,E14000549,England,London,0.230375568,124,3735,515000,704.7,11.7,57.4,38,34.5,88.3
Hampstead and Kilburn,E14000727,England,London,0.234826777,65,1746,585000,711.2,21.4,54,43,45.9,85.4
Islington North,E14000763,England,London,0.216111236,95,2446,415000,617,31.5,48.8,41,34.6,82
Edinburgh South,S14000024,Scotland,Scotland,0.221533874,133,1750,NA,643.7,38.2,46.9,47,15.3,87.3
Lewisham Deptford,E14000789,England,London,0.246692965,143,1999,265000,591.8,23.7,41.6,45,39,84.3
Tooting,E14000998,England,London,0.253201744,82,1748,414000,688.7,44.2,51.4,38,34.7,86.6
Brighton Pavilion,E14000598,England,South East,0.256776314,134,1247,250000,564.8,14.1,40.4,39,15.9,85.3
East Renfrewshire,S14000021,Scotland,Scotland,0.256814189,140,1500,NA,652.5,26.8,35.2,47,4.8,85.6
Islington South and Finsbury,E14000764,England,London,0.282831001,286,13928,529000,719.5,14.1,47.4,37,36.3,82.7
Manchester Withington,E14000809,England,North West,0.263073428,153,1500,190000,574.3,31.8,45.1,39,17.8,83.9
Cambridge,E14000617,England,East of England,0.262252731,117,2241,304995,569.4,12.8,46.8,33,29.6,86.6
East Dunbartonshire,S14000018,Scotland,Scotland,0.267002273,206,1744,NA,595.5,20.5,38.3,43,4.8,85.9
Putney,E14000887,England,London,0.268514131,32,500,454500,745.6,12.4,51.6,41,37.1,87.1
Edinburgh South West,S14000025,Scotland,Scotland,0.278616465,158,2500,NA,535.4,28.3,38.6,41,15.9,86
Liverpool Riverside,E14000793,England,North West,0.268888971,704,5750,124000,505.7,20.1,29.7,42,17.7,80.4
Bermondsey and Old Southwark,E14000553,England,London,0.270040119,96,1748,370000,641.9,18.9,44.5,41,41.9,85.3
Wimbledon,E14001040,England,London,0.293693947,86,1250,461500,766.6,12.5,54.4,36,35.1,88.1
Holborn and St Pancras,E14000750,England,London,0.266587436,186,8458,520000,691.4,12.3,45.2,34,40.3,82.5
Glasgow North,S14000031,Scotland,Scotland,0.216204743,118,1999,NA,539.5,22.4,40.6,31,16.7,83
Richmond Park,E14000896,England,London,0.277038711,175,2500,545000,834.3,17.8,55.2,34,29.9,88.4
Glasgow Central,S14000029,Scotland,Scotland,0.287506085,187,3747,NA,478.4,19.6,34.6,47,24.7,79.8
Ealing Central and Acton,E14000674,England,London,0.291502806,100,1994,417000,674.2,11.7,48.4,46,46.6,85.6
Cities of London and Westminster,E14000639,England,London,0.286318407,357,18615,795000,786.3,11.1,54.5,40,52,86.4
Glasgow South,S14000034,Scotland,Scotland,0.281918886,214,2750,NA,547.4,32.7,31.4,38,9.5,80.4
Edinburgh West,S14000026,Scotland,Scotland,0.287660196,245,3250,NA,532.6,29.8,36.2,32,9,86
Chelsea and Fulham,E14000629,England,London,0.292140209,52,2240,778750,670.8,18.7,53.7,39,43.4,87.3
Glasgow North West,S14000033,Scotland,Scotland,0.31492853,114,1500,NA,582.4,32.8,29.2,40,9.9,78.1
Camberwell and Peckham,E14000615,England,London,0.301969148,153,2499,305000,571.8,31,37.6,44,40.8,83.5
Cardiff Central,W07000050,Wales,Wales,0.303544146,312,2476,165625,482,19.5,33.5,36,18.9,84.6
Sheffield Central,E14000919,England,Yorkshire and The Humber,0.304072173,457,3749,125000,486.1,26.6,32.6,38,22.5,84.7
Edinburgh East,S14000022,Scotland,Scotland,0.276367854,147,2500,NA,527,31.4,35.2,43,19.1,84.4
Finchley and Golders Green,E14000703,England,London,0.309197484,138,2744,435000,651.6,9.8,46.5,38,42.4,85.1
Bethnal Green and Bow,E14000555,England,London,0.309319051,105,3062,330000,600.3,29.2,39.6,39,40.7,82.4
Hammersmith,E14000726,England,London,0.310387782,98,2493,455000,670.8,20.1,47.5,42,44.6,84.7
Kensington,E14000768,England,London,0.313504435,89,3239,980000,848.2,10.3,52.2,40,52.3,86.1
Bath,E14000547,England,South West,0.316927941,103,995,250000,527.8,20.4,38,38,13.8,84.6
Stirling,S14000057,Scotland,Scotland,0.321961127,252,1849,NA,571,21,33.3,40,7.1,84.7
Oxford East,E14000873,England,South East,0.323125515,56,1245,250000,546.5,24.4,37.7,49,27.7,86.3
Aberdeen South,S14000002,Scotland,Scotland,0.323256542,313,3595,NA,584.1,9.2,40.3,40,15.7,87.1
Westminster North,E14001036,England,London,0.329751009,44,1746,615000,711.6,14.2,47.3,39,53.6,82.3
Tottenham,E14001002,England,London,0.237770263,74,1200,261750,478.4,19,29.3,46,52.2,81.1
Twickenham,E14001005,England,London,0.336755609,185,2498,417500,726.7,12.8,49.5,39,21.1,87.4
Hove,E14000755,England,South East,0.339214697,169,1245,249950,502.3,18.6,38.4,36,16,82.7
Poplar and Limehouse,E14000882,England,London,0.341864289,89,2066,321500,711.8,10.1,42.5,27,45.4,84.2
Paisley and Renfrewshire South,S14000053,Scotland,Scotland,0.341897539,262,2250,NA,508.2,42.6,22.5,36,4.8,79.6
Lewisham West and Penge,E14000788,England,London,0.344683806,130,1250,259000,668.8,20.9,37.4,38,27.7,83.1
Greenwich and Woolwich,E14000718,England,London,0.356656796,98,1497,325000,586.7,25.1,40,41,35.8,84.2
Arfon,W07000057,Wales,Wales,0.349074901,162,1018,130000,479.2,37.3,27.9,41,6.8,82.7
Leyton and Wanstead,E14000790,England,London,0.350055049,96,1743,265000,550,25.9,36.3,39,43.1,83.8
East Lothian,S14000020,Scotland,Scotland,0.353955957,232,1877,NA,538.8,25.6,27,40,5.3,83.9
Leeds North West,E14000780,England,Yorkshire and The Humber,0.35397489,335,1746,179950,531.1,14.2,33.3,39,8.6,85.2
Lewisham East,E14000787,England,London,0.354481551,142,1747,250000,604.6,24.2,34.3,41,30,82
Lanark and Hamilton East,S14000042,Scotland,Scotland,0.354668626,249,1452,NA,547.9,34.6,23.6,41,3,79.8
Liverpool Wavertree,E14000795,England,North West,0.358495654,353,2750,120000,530.5,33.3,26.6,43,12.9,78.7
Sheffield Hallam,E14000922,England,Yorkshire and The Humber,0.359007007,272,2249,219000,624.6,26.3,43.6,46,7.4,85.2
Paisley and Renfrewshire North,S14000052,Scotland,Scotland,0.360949483,372,3250,NA,588.6,9.4,23.6,40,3.8,81.8
Inverclyde,S14000038,Scotland,Scotland,0.362034214,189,1389,NA,509.4,31.8,19.7,43,2.6,78.8
Walthamstow,E14001013,England,London,0.334885855,94,1494,250000,526.7,25.5,31.3,34,43,83
Manchester Central,E14000807,England,North West,0.366587346,493,5250,124000,442.6,16.6,29.7,44,30.3,81.7
Motherwell and Wishaw,S14000047,Scotland,Scotland,0.369725268,140,748,NA,481.6,40.5,17.5,40,3.6,78.8
Leeds North East,E14000779,England,Yorkshire and The Humber,0.373261813,177,1248,187000,535.7,24.9,40.7,42,18.1,82.3
Rutherglen and Hamilton West,S14000056,Scotland,Scotland,0.373417415,155,1250,NA,480.8,20,19.7,41,3.8,79
Enfield Southgate,E14000692,England,London,0.378848159,212,2000,335000,586.2,14,38.2,40,34.3,83.2
Glasgow North East,S14000032,Scotland,Scotland,0.406576167,283,3492,NA,444.3,20.4,16.7,43,11,72.8
Manchester Gorton,E14000808,England,North West,0.379048112,211,2000,107500,452.6,23.1,26,42,32.6,81.4
Cumbernauld Kilsyth and Kirkintilloch East,S14000012,Scotland,Scotland,0.379089926,360,2077,NA,519.4,23.8,19.8,38,2.9,81
Midlothian,S14000045,Scotland,Scotland,0.379409695,300,3333,NA,475.5,25.9,21.1,32,4,82.9
East Kilbride Strathaven and Lesmahagow,S14000019,Scotland,Scotland,0.379972179,271,2078,NA,523.9,26.7,22.5,46,3.4,82.4
West Dunbartonshire,S14000059,Scotland,Scotland,0.38005553,166,1518,NA,479.7,39.1,16.5,35,3.1,77.8
St Albans,E14000960,England,East of England,0.380152969,251,2499,335000,670.7,16.6,44.5,43,15,86.3
North East Fife,S14000049,Scotland,Scotland,0.381371964,299,1794,NA,522.6,14.9,33.9,40,10.3,84.8
Oxford West and Abingdon,E14000874,England,South East,0.381809531,111,1885,285000,597.6,13.4,43.4,47,18,86.7
Reading East,E14000889,England,South East,0.382385495,49,1248,232500,556.5,15.3,38.4,41,24.4,87
Dundee East,S14000015,Scotland,Scotland,0.382527563,168,1086,NA,463.9,22.1,26.4,44,5.8,83
South Cambridgeshire,E14000934,England,East of England,0.384437596,298,3914,250000,624.5,26.8,41.8,43,11.9,86.3
Altrincham and Sale West,E14000532,England,North West,0.384687096,166,1000,236000,672.2,7.3,40.3,33,9.5,85
York Central,E14001061,England,Yorkshire and The Humber,0.385330382,557,4004,167000,461.1,26.5,32.7,41,11.8,83.9
